station,x_m,y_m,z_m
0,0.0475,-0.0902,0.6957
0,0.0475,-0.0832,0.6378
0,0.0475,-0.0763,0.5798
0,0.0475,-0.0693,0.5218
0,0.0475,-0.0624,0.4638
0,0.0475,-0.0554,0.4059
0,0.0475,-0.0485,0.3479
0,0.0475,-0.0415,0.2899
0,0.0475,-0.0346,0.2319
0,0.0475,-0.0276,0.1739
0,0.0475,-0.0207,0.1160
0,0.0475,-0.0137,0.0580
0,0.0475,-0.0068,-0.0000
0,0.0475,-0.0068,-0.0066
0,0.0475,-0.0068,-0.0131
0,0.0475,-0.0067,-0.0197
0,0.0475,-0.0067,-0.0262
0,0.0475,-0.0067,-0.0326
0,0.0475,-0.0066,-0.0391
0,0.0475,-0.0065,-0.0454
0,0.0475,-0.0064,-0.0517
0,0.0475,-0.0064,-0.0579
0,0.0475,-0.0063,-0.0640
0,0.0475,-0.0061,-0.0700
0,0.0475,-0.0060,-0.0758
0,0.0475,-0.0059,-0.0816
0,0.0475,-0.0057,-0.0872
0,0.0475,-0.0056,-0.0927
0,0.0475,-0.0054,-0.0980
0,0.0475,-0.0053,-0.1032
0,0.0475,-0.0051,-0.1082
0,0.0475,-0.0049,-0.1131
0,0.0475,-0.0047,-0.1177
0,0.0475,-0.0045,-0.1222
0,0.0475,-0.0043,-0.1264
0,0.0475,-0.0041,-0.1305
0,0.0475,-0.0039,-0.1343
0,0.0475,-0.0036,-0.1379
0,0.0475,-0.0034,-0.1413
0,0.0475,-0.0032,-0.1445
0,0.0475,-0.0029,-0.1474
0,0.0475,-0.0027,-0.1501
0,0.0475,-0.0024,-0.1526
0,0.0475,-0.0022,-0.1548
0,0.0475,-0.0019,-0.1567
0,0.0475,-0.0016,-0.1584
0,0.0475,-0.0014,-0.1599
0,0.0475,-0.0011,-0.1611
0,0.0475,-0.0008,-0.1620
0,0.0475,-0.0005,-0.1627
0,0.0475,-0.0003,-0.1631
0,0.0475,-0.0000,-0.1632
0,0.0475,0.0003,-0.1631
0,0.0475,0.0005,-0.1627
0,0.0475,0.0008,-0.1620
0,0.0475,0.0011,-0.1611
0,0.0475,0.0014,-0.1599
0,0.0475,0.0016,-0.1584
0,0.0475,0.0019,-0.1567
