waterline,z_m,x_m,y_m
1,-0.4264,3.3669,0.0598
1,-0.4264,3.4459,0.1084
1,-0.4264,3.5250,0.1422
1,-0.4264,3.6040,0.1705
1,-0.4264,3.6830,0.1954
1,-0.4264,3.7621,0.2179
1,-0.4264,3.8411,0.2389
1,-0.4264,3.9201,0.2581
1,-0.4264,3.9992,0.2762
1,-0.4264,4.0782,0.2934
1,-0.4264,4.1572,0.3095
1,-0.4264,4.2363,0.3248
1,-0.4264,4.3153,0.3393
1,-0.4264,4.3943,0.3528
1,-0.4264,4.4734,0.3657
1,-0.4264,4.5524,0.3778
1,-0.4264,4.6314,0.3890
1,-0.4264,4.7105,0.3996
1,-0.4264,4.7895,0.4077
1,-0.4264,4.8686,0.4129
1,-0.4264,4.9476,0.4173
1,-0.4264,5.0266,0.4210
1,-0.4264,5.1057,0.4240
1,-0.4264,5.1847,0.4263
1,-0.4264,5.2637,0.4278
1,-0.4264,5.3428,0.4285
1,-0.4264,5.4218,0.4286
1,-0.4264,5.5008,0.4281
1,-0.4264,5.5799,0.4271
1,-0.4264,5.6589,0.4254
1,-0.4264,5.7379,0.4231
1,-0.4264,5.8170,0.4204
1,-0.4264,5.8960,0.4171
1,-0.4264,5.9750,0.4132
1,-0.4264,6.0541,0.4088
1,-0.4264,6.1331,0.4039
1,-0.4264,6.2121,0.3986
1,-0.4264,6.2912,0.3929
1,-0.4264,6.3702,0.3867
1,-0.4264,6.4492,0.3802
1,-0.4264,6.5283,0.3733
1,-0.4264,6.6073,0.3660
1,-0.4264,6.6863,0.3585
1,-0.4264,6.7654,0.3506
1,-0.4264,6.8444,0.3424
1,-0.4264,6.9234,0.3340
1,-0.4264,7.0025,0.3254
1,-0.4264,7.0815,0.3165
1,-0.4264,7.1605,0.3074
1,-0.4264,7.2396,0.2981
1,-0.4264,7.3186,0.2887
1,-0.4264,7.3976,0.2791
1,-0.4264,7.4767,0.2695
1,-0.4264,7.5557,0.2598
1,-0.4264,7.6347,0.2500
1,-0.4264,7.7138,0.2402
1,-0.4264,7.7928,0.2305
1,-0.4264,7.8718,0.2208
1,-0.4264,7.9509,0.2111
1,-0.4264,8.0299,0.2015
1,-0.4264,8.1089,0.1920
1,-0.4264,8.1880,0.1826
1,-0.4264,8.2670,0.1734
1,-0.4264,8.3460,0.1644
1,-0.4264,8.4251,0.1556
1,-0.4264,8.5041,0.1471
1,-0.4264,8.5831,0.1389
1,-0.4264,8.6622,0.1310
1,-0.4264,8.7412,0.1234
1,-0.4264,8.8202,0.1162
1,-0.4264,8.8993,0.1095
1,-0.4264,8.9783,0.1032
1,-0.4264,9.0573,0.0973
1,-0.4264,9.1364,0.0920
1,-0.4264,9.2154,0.0873
1,-0.4264,9.2944,0.0832
1,-0.4264,9.3735,0.0797
1,-0.4264,9.4525,0.0768
1,-0.4264,9.4525,-0.0768
1,-0.4264,9.3735,-0.0797
1,-0.4264,9.2944,-0.0832
1,-0.4264,9.2154,-0.0873
1,-0.4264,9.1364,-0.0920
1,-0.4264,9.0573,-0.0973
1,-0.4264,8.9783,-0.1032
1,-0.4264,8.8993,-0.1095
1,-0.4264,8.8202,-0.1162
1,-0.4264,8.7412,-0.1234
1,-0.4264,8.6622,-0.1310
1,-0.4264,8.5831,-0.1389
1,-0.4264,8.5041,-0.1471
1,-0.4264,8.4251,-0.1556
1,-0.4264,8.3460,-0.1644
1,-0.4264,8.2670,-0.1734
1,-0.4264,8.1880,-0.1826
1,-0.4264,8.1089,-0.1920
1,-0.4264,8.0299,-0.2015
1,-0.4264,7.9509,-0.2111
1,-0.4264,7.8718,-0.2208
1,-0.4264,7.7928,-0.2305
1,-0.4264,7.7138,-0.2402
1,-0.4264,7.6347,-0.2500
1,-0.4264,7.5557,-0.2598
1,-0.4264,7.4767,-0.2695
1,-0.4264,7.3976,-0.2791
1,-0.4264,7.3186,-0.2887
1,-0.4264,7.2396,-0.2981
1,-0.4264,7.1605,-0.3074
1,-0.4264,7.0815,-0.3165
1,-0.4264,7.0025,-0.3254
1,-0.4264,6.9234,-0.3340
1,-0.4264,6.8444,-0.3424
1,-0.4264,6.7654,-0.3506
1,-0.4264,6.6863,-0.3585
1,-0.4264,6.6073,-0.3660
1,-0.4264,6.5283,-0.3733
1,-0.4264,6.4492,-0.3802
1,-0.4264,6.3702,-0.3867
1,-0.4264,6.2912,-0.3929
1,-0.4264,6.2121,-0.3986
1,-0.4264,6.1331,-0.4039
