station,x_cm,y_cm,z_cm
0,0.00,-1.000,24.000
0,0.00,-0.857,20.571
0,0.00,-0.714,17.143
0,0.00,-0.571,13.714
0,0.00,-0.429,10.286
0,0.00,-0.286,6.857
0,0.00,-0.143,3.429
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,-0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.000,-0.000
0,0.00,0.143,3.429
0,0.00,0.286,6.857
0,0.00,0.429,10.286
0,0.00,0.571,13.714
0,0.00,0.714,17.143
0,0.00,0.857,20.571
0,0.00,1.000,24.000
1,16.75,-6.563,22.437
1,16.75,-6.072,19.232
1,16.75,-5.581,16.026
1,16.75,-5.089,12.821
1,16.75,-4.598,9.616
1,16.75,-4.107,6.411
1,16.75,-3.615,3.205
1,16.75,-3.124,-0.000
1,16.75,-3.122,-0.126
1,16.75,-3.114,-0.252
1,16.75,-3.101,-0.377
1,16.75,-3.084,-0.501
1,16.75,-3.061,-0.625
1,16.75,-3.033,-0.748
1,16.75,-3.001,-0.870
1,16.75,-2.963,-0.990
1,16.75,-2.921,-1.109
1,16.75,-2.874,-1.225
1,16.75,-2.823,-1.340
1,16.75,-2.766,-1.453
1,16.75,-2.706,-1.563
1,16.75,-2.640,-1.671
1,16.75,-2.571,-1.776
1,16.75,-2.498,-1.878
1,16.75,-2.420,-1.977
1,16.75,-2.338,-2.073
1,16.75,-2.253,-2.166
1,16.75,-2.164,-2.255
1,16.75,-2.072,-2.340
1,16.75,-1.976,-2.421
1,16.75,-1.877,-2.499
1,16.75,-1.775,-2.573
1,16.75,-1.670,-2.642
1,16.75,-1.562,-2.707
1,16.75,-1.452,-2.768
1,16.75,-1.339,-2.824
1,16.75,-1.225,-2.876
1,16.75,-1.108,-2.923
1,16.75,-0.989,-2.965
1,16.75,-0.869,-3.003
1,16.75,-0.748,-3.035
1,16.75,-0.625,-3.063
1,16.75,-0.501,-3.086
1,16.75,-0.377,-3.103
1,16.75,-0.251,-3.116
1,16.75,-0.126,-3.124
1,16.75,-0.000,-3.126
1,16.75,0.126,-3.124
1,16.75,0.251,-3.116
1,16.75,0.377,-3.103
1,16.75,0.501,-3.086
1,16.75,0.625,-3.063
1,16.75,0.748,-3.035
1,16.75,0.869,-3.003
1,16.75,0.989,-2.965
1,16.75,1.108,-2.923
1,16.75,1.225,-2.876
1,16.75,1.339,-2.824
1,16.75,1.452,-2.768
1,16.75,1.562,-2.707
1,16.75,1.670,-2.642
1,16.75,1.775,-2.573
1,16.75,1.877,-2.499
1,16.75,1.976,-2.421
1,16.75,2.072,-2.340
1,16.75,2.164,-2.255
1,16.75,2.253,-2.166
1,16.75,2.338,-2.073
1,16.75,2.420,-1.977
1,16.75,2.498,-1.878
1,16.75,2.571,-1.776
1,16.75,2.640,-1.671
1,16.75,2.706,-1.563
1,16.75,2.766,-1.453
1,16.75,2.823,-1.340
1,16.75,2.874,-1.225
1,16.75,2.921,-1.109
1,16.75,2.963,-0.990
1,16.75,3.001,-0.870
1,16.75,3.033,-0.748
1,16.75,3.061,-0.625
1,16.75,3.084,-0.501
1,16.75,3.101,-0.377
1,16.75,3.114,-0.252
1,16.75,3.122,-0.126
1,16.75,3.124,-0.000
1,16.75,3.615,3.205
1,16.75,4.107,6.411
1,16.75,4.598,9.616
1,16.75,5.089,12.821
1,16.75,5.581,16.026
1,16.75,6.072,19.232
1,16.75,6.563,22.437
2,33.50,-11.915,20.553
2,33.50,-11.199,17.617
2,33.50,-10.484,14.681
2,33.50,-9.769,11.744
2,33.50,-9.054,8.808
2,33.50,-8.338,5.872
2,33.50,-7.623,2.936
2,33.50,-6.908,-0.000
2,33.50,-6.902,-0.278
2,33.50,-6.885,-0.555
2,33.50,-6.857,-0.831
2,33.50,-6.818,-1.106
2,33.50,-6.768,-1.379
2,33.50,-6.707,-1.650
2,33.50,-6.635,-1.919
2,33.50,-6.552,-2.184
2,33.50,-6.459,-2.445
2,33.50,-6.355,-2.703
2,33.50,-6.241,-2.956
2,33.50,-6.116,-3.205
2,33.50,-5.982,-3.448
2,33.50,-5.838,-3.686
2,33.50,-5.685,-3.918
2,33.50,-5.522,-4.143
2,33.50,-5.351,-4.362
2,33.50,-5.170,-4.573
2,33.50,-4.982,-4.777
2,33.50,-4.785,-4.974
2,33.50,-4.581,-5.162
2,33.50,-4.369,-5.342
2,33.50,-4.150,-5.513
2,33.50,-3.924,-5.676
2,33.50,-3.692,-5.829
2,33.50,-3.454,-5.972
2,33.50,-3.210,-6.106
2,33.50,-2.961,-6.231
2,33.50,-2.708,-6.345
2,33.50,-2.449,-6.448
2,33.50,-2.187,-6.541
2,33.50,-1.922,-6.624
2,33.50,-1.653,-6.696
2,33.50,-1.382,-6.757
2,33.50,-1.108,-6.807
2,33.50,-0.833,-6.846
2,33.50,-0.556,-6.874
2,33.50,-0.278,-6.891
2,33.50,-0.000,-6.896
2,33.50,0.278,-6.891
2,33.50,0.556,-6.874
2,33.50,0.833,-6.846
2,33.50,1.108,-6.807
2,33.50,1.382,-6.757
2,33.50,1.653,-6.696
2,33.50,1.922,-6.624
2,33.50,2.187,-6.541
2,33.50,2.449,-6.448
2,33.50,2.708,-6.345
2,33.50,2.961,-6.231
2,33.50,3.210,-6.106
2,33.50,3.454,-5.972
2,33.50,3.692,-5.829
2,33.50,3.924,-5.676
2,33.50,4.150,-5.513
2,33.50,4.369,-5.342
2,33.50,4.581,-5.162
2,33.50,4.785,-4.974
2,33.50,4.982,-4.777
2,33.50,5.170,-4.573
2,33.50,5.351,-4.362
2,33.50,5.522,-4.143
2,33.50,5.685,-3.918
2,33.50,5.838,-3.686
2,33.50,5.982,-3.448
2,33.50,6.116,-3.205
2,33.50,6.241,-2.956
2,33.50,6.355,-2.703
2,33.50,6.459,-2.445
2,33.50,6.552,-2.184
2,33.50,6.635,-1.919
2,33.50,6.707,-1.650
2,33.50,6.768,-1.379
2,33.50,6.818,-1.106
2,33.50,6.857,-0.831
2,33.50,6.885,-0.555
2,33.50,6.902,-0.278
2,33.50,6.908,-0.000
2,33.50,7.623,2.936
2,33.50,8.338,5.872
2,33.50,9.054,8.808
2,33.50,9.769,11.744
2,33.50,10.484,14.681
2,33.50,11.199,17.617
2,33.50,11.915,20.553
3,50.25,-14.294,19.208
3,50.25,-13.612,16.464
3,50.25,-12.931,13.720
3,50.25,-12.249,10.976
3,50.25,-11.567,8.232
3,50.25,-10.886,5.488
3,50.25,-10.204,2.744
3,50.25,-9.522,-0.000
3,50.25,-9.515,-0.385
3,50.25,-9.491,-0.770
3,50.25,-9.453,-1.154
3,50.25,-9.399,-1.536
3,50.25,-9.330,-1.915
3,50.25,-9.246,-2.291
3,50.25,-9.146,-2.664
3,50.25,-9.032,-3.032
3,50.25,-8.904,-3.395
