waterline,z_cm,x_cm,y_cm
0,-14.726,128.15,1.180
0,-14.726,130.40,1.759
0,-14.726,132.65,2.181
0,-14.726,134.90,2.535
0,-14.726,137.15,2.855
0,-14.726,139.40,3.157
0,-14.726,141.64,3.428
0,-14.726,143.89,3.693
0,-14.726,146.14,3.938
0,-14.726,148.39,4.167
0,-14.726,150.64,4.377
0,-14.726,152.89,4.571
0,-14.726,155.13,4.741
0,-14.726,157.38,4.897
0,-14.726,159.63,5.031
0,-14.726,161.88,5.141
0,-14.726,164.13,5.233
0,-14.726,166.38,5.303
0,-14.726,168.62,5.349
0,-14.726,170.87,5.370
0,-14.726,173.12,5.365
0,-14.726,175.37,5.333
0,-14.726,177.62,5.278
0,-14.726,179.87,5.198
0,-14.726,182.11,5.096
0,-14.726,184.36,4.972
0,-14.726,186.61,4.812
0,-14.726,188.86,4.632
0,-14.726,191.11,4.421
0,-14.726,193.36,4.178
0,-14.726,195.60,3.898
0,-14.726,197.85,3.583
0,-14.726,200.10,3.212
0,-14.726,202.35,2.775
0,-14.726,204.60,2.239
0,-14.726,206.85,1.468
0,-14.726,206.85,-1.468
0,-14.726,204.60,-2.239
0,-14.726,202.35,-2.775
0,-14.726,200.10,-3.212
0,-14.726,197.85,-3.583
0,-14.726,195.60,-3.898
0,-14.726,193.36,-4.178
0,-14.726,191.11,-4.421
0,-14.726,188.86,-4.632
0,-14.726,186.61,-4.812
0,-14.726,184.36,-4.972
0,-14.726,182.11,-5.096
0,-14.726,179.87,-5.198
0,-14.726,177.62,-5.278
0,-14.726,175.37,-5.333
0,-14.726,173.12,-5.365
0,-14.726,170.87,-5.370
0,-14.726,168.62,-5.349
0,-14.726,166.38,-5.303
0,-14.726,164.13,-5.233
0,-14.726,161.88,-5.141
0,-14.726,159.63,-5.031
0,-14.726,157.38,-4.897
0,-14.726,155.13,-4.741
0,-14.726,152.89,-4.571
0,-14.726,150.64,-4.377
0,-14.726,148.39,-4.167
0,-14.726,146.14,-3.938
0,-14.726,143.89,-3.693
0,-14.726,141.64,-3.428
0,-14.726,139.40,-3.157
0,-14.726,137.15,-2.855
0,-14.726,134.90,-2.535
0,-14.726,132.65,-2.181
0,-14.726,130.40,-1.759
0,-14.726,128.15,-1.180
1,-12.272,74.19,1.744
1,-12.272,76.44,2.829
1,-12.272,78.69,3.583
1,-12.272,80.94,4.190
1,-12.272,83.19,4.701
1,-12.272,85.44,5.152
1,-12.272,87.68,5.554
1,-12.272,89.93,5.919
1,-12.272,92.18,6.253
1,-12.272,94.43,6.556
1,-12.272,96.68,6.839
1,-12.272,98.93,7.099
1,-12.272,101.17,7.343
1,-12.272,103.42,7.566
1,-12.272,105.67,7.777
1,-12.272,107.92,7.972
1,-12.272,110.17,8.154
1,-12.272,112.42,8.325
1,-12.272,114.66,8.486
1,-12.272,116.91,8.635
1,-12.272,119.16,8.775
1,-12.272,121.41,8.907
1,-12.272,123.66,9.033
1,-12.272,125.91,9.152
1,-12.272,128.15,9.263
1,-12.272,130.40,9.368
1,-12.272,132.65,9.469
1,-12.272,134.90,9.566
1,-12.272,137.15,9.660
1,-12.272,139.40,9.752
1,-12.272,141.64,9.838
1,-12.272,143.89,9.922
1,-12.272,146.14,10.002
1,-12.272,148.39,10.079
1,-12.272,150.64,10.151
1,-12.272,152.89,10.218
1,-12.272,155.13,10.278
1,-12.272,157.38,10.331
1,-12.272,159.63,10.378
1,-12.272,161.88,10.419
1,-12.272,164.13,10.452
1,-12.272,166.38,10.479
1,-12.272,168.62,10.497
1,-12.272,170.87,10.508
1,-12.272,173.12,10.510
1,-12.272,175.37,10.503
1,-12.272,177.62,10.488
1,-12.272,179.87,10.463
1,-12.272,182.11,10.429
1,-12.272,184.36,10.385
1,-12.272,186.61,10.332
1,-12.272,188.86,10.268
1,-12.272,191.11,10.190
1,-12.272,193.36,10.102
1,-12.272,195.60,10.002
1,-12.272,197.85,9.891
1,-12.272,200.10,9.770
1,-12.272,202.35,9.632
1,-12.272,204.60,9.484
1,-12.272,206.85,9.323
1,-12.272,209.09,9.149
1,-12.272,211.34,8.958
1,-12.272,213.59,8.755
1,-12.272,215.84,8.536
1,-12.272,218.09,8.298
1,-12.272,220.34,8.046
1,-12.272,222.58,7.770
1,-12.272,224.83,7.477
1,-12.272,227.08,7.156
1,-12.272,229.33,6.810
1,-12.272,231.58,6.435
1,-12.272,233.83,6.022
1,-12.272,236.07,5.565
1,-12.272,238.32,5.049
1,-12.272,240.57,4.458
1,-12.272,242.82,3.755
1,-12.272,245.07,2.870
1,-12.272,247.32,1.501
1,-12.272,247.32,-1.501
1,-12.272,245.07,-2.870
1,-12.272,242.82,-3.755
1,-12.272,240.57,-4.458
1,-12.272,238.32,-5.049
1,-12.272,236.07,-5.565
1,-12.272,233.83,-6.022
1,-12.272,231.58,-6.435
1,-12.272,229.33,-6.810
1,-12.272,227.08,-7.156
1,-12.272,224.83,-7.477
1,-12.272,222.58,-7.770
1,-12.272,220.34,-8.046
1,-12.272,218.09,-8.298
1,-12.272,215.84,-8.536
1,-12.272,213.59,-8.755
1,-12.272,211.34,-8.958
1,-12.272,209.09,-9.149
1,-12.272,206.85,-9.323
1,-12.272,204.60,-9.484
1,-12.272,202.35,-9.632
1,-12.272,200.10,-9.770
1,-12.272,197.85,-9.891
1,-12.272,195.60,-10.002
1,-12.272,193.36,-10.102
1,-12.272,191.11,-10.190
1,-12.272,188.86,-10.268
1,-12.272,186.61,-10.332
1,-12.272,184.36,-10.385
1,-12.272,182.11,-10.429
1,-12.272,179.87,-10.463
1,-12.272,177.62,-10.488
1,-12.272,175.37,-10.503
1,-12.272,173.12,-10.510
1,-12.272,170.87,-10.508
1,-12.272,168.62,-10.497
1,-12.272,166.38,-10.479
1,-12.272,164.13,-10.452
1,-12.272,161.88,-10.419
1,-12.272,159.63,-10.378
1,-12.272,157.38,-10.331
1,-12.272,155.13,-10.278
1,-12.272,152.89,-10.218
1,-12.272,150.64,-10.151
1,-12.272,148.39,-10.079
1,-12.272,146.14,-10.002
1,-12.272,143.89,-9.922
1,-12.272,141.64,-9.838
1,-12.272,139.40,-9.752
1,-12.272,137.15,-9.660
1,-12.272,134.90,-9.566
1,-12.272,132.65,-9.469
1,-12.272,130.40,-9.368
1,-12.272,128.15,-9.263
1,-12.272,125.91,-9.152
1,-12.272,123.66,-9.033
1,-12.272,121.41,-8.907
1,-12.272,119.16,-8.775
1,-12.272,116.91,-8.635
1,-12.272,114.66,-8.486
1,-12.272,112.42,-8.325
1,-12.272,110.17,-8.154
1,-12.272,107.92,-7.972
1,-12.272,105.67,-7.777
1,-12.272,103.42,-7.566
1,-12.272,101.17,-7.343
1,-12.272,98.93,-7.099
1,-12.272,96.68,-6.839
1,-12.272,94.43,-6.556
1,-12.272,92.18,-6.253
1,-12.272,89.93,-5.919
1,-12.272,87.68,-5.554
1,-12.272,85.44,-5.152
1,-12.272,83.19,-4.701
1,-12.272,80.94,-4.190
1,-12.272,78.69,-3.583
1,-12.272,76.44,-2.829
1,-12.272,74.19,-1.744
2,-9.817,53.96,2.333
2,-9.817,56.21,3.396
2,-9.817,58.46,4.194
2,-9.817,60.70,4.856
2,-9.817,62.95,5.433
2,-9.817,65.20,5.947
2,-9.817,67.45,6.415
2,-9.817,69.70,6.845
2,-9.817,71.95,7.243
2,-9.817,74.19,7.614
2,-9.817,76.44,7.963
2,-9.817,78.69,8.294
2,-9.817,80.94,8.604
2,-9.817,83.19,8.900
2,-9.817,85.44,9.180
2,-9.817,87.68,9.448
2,-9.817,89.93,9.701
2,-9.817,92.18,9.943
2,-9.817,94.43,10.173
2,-9.817,96.68,10.390
2,-9.817,98.93,10.597
2,-9.817,101.17,10.794
2,-9.817,103.42,10.980
2,-9.817,105.67,11.155
2,-9.817,107.92,11.321
2,-9.817,110.17,11.478
2,-9.817,112.42,11.626
2,-9.817,114.66,11.767
2,-9.817,116.91,11.897
2,-9.817,119.16,12.020
2,-9.817,121.41,12.136
2,-9.817,123.66,12.245
2,-9.817,125.91,12.347
2,-9.817,128.15,12.443
2,-9.817,130.40,12.533
2,-9.817,132.65,12.617
2,-9.817,134.90,12.695
2,-9.817,137.15,12.768
2,-9.817,139.40,12.835
2,-9.817,141.64,12.897
2,-9.817,143.89,12.955
2,-9.817,146.14,13.008
2,-9.817,148.39,13.057
2,-9.817,150.64,13.102
2,-9.817,152.89,13.142
2,-9.817,155.13,13.177
2,-9.817,157.38,13.209
2,-9.817,159.63,13.235
2,-9.817,161.88,13.258
2,-9.817,164.13,13.276
2,-9.817,166.38,13.291
2,-9.817,168.62,13.303
2,-9.817,170.87,13.311
2,-9.817,173.12,13.316
2,-9.817,175.37,13.317
2,-9.817,177.62,13.313
2,-9.817,179.87,13.303
2,-9.817,182.11,13.288
2,-9.817,184.36,13.265
2,-9.817,186.61,13.233
2,-9.817,188.86,13.194
2,-9.817,191.11,13.145
2,-9.817,193.36,13.086
2,-9.817,195.60,13.018
2,-9.817,197.85,12.938
2,-9.817,200.10,12.848
2,-9.817,202.35,12.745
2,-9.817,204.60,12.629
2,-9.817,206.85,12.501
2,-9.817,209.09,12.360
2,-9.817,211.34,12.209
2,-9.817,213.59,12.046
2,-9.817,215.84,11.871
2,-9.817,218.09,11.682
2,-9.817,220.34,11.482
2,-9.817,222.58,11.271
2,-9.817,224.83,11.047
2,-9.817,227.08,10.808
2,-9.817,229.33,10.559
2,-9.817,231.58,10.295
2,-9.817,233.83,10.017
2,-9.817,236.07,9.725
2,-9.817,238.32,9.417
2,-9.817,240.57,9.091
2,-9.817,242.82,8.749
2,-9.817,245.07,8.385
2,-9.817,247.32,8.003
2,-9.817,249.56,7.599
2,-9.817,251.81,7.173
2,-9.817,254.06,6.721
2,-9.817,256.31,6.241
2,-9.817,258.56,5.729
2,-9.817,260.81,5.174
2,-9.817,263.05,4.570
2,-9.817,265.30,3.895
2,-9.817,267.55,3.111
2,-9.817,269.80,2.100
2,-9.817,269.80,-2.100
2,-9.817,267.55,-3.111
2,-9.817,265.30,-3.895
2,-9.817,263.05,-4.570
2,-9.817,260.81,-5.174
2,-9.817,258.56,-5.729
2,-9.817,256.31,-6.241
2,-9.817,254.06,-6.721
2,-9.817,251.81,-7.173
2,-9.817,249.56,-7.599
2,-9.817,247.32,-8.003
2,-9.817,245.07,-8.385
2,-9.817,242.82,-8.749
2,-9.817,240.57,-9.091
2,-9.817,238.32,-9.417
2,-9.817,236.07,-9.725
2,-9.817,233.83,-10.017
2,-9.817,231.58,-10.295
2,-9.817,229.33,-10.559
2,-9.817,227.08,-10.808
2,-9.817,224.83,-11.047
2,-9.817,222.58,-11.271
2,-9.817,220.34,-11.482
2,-9.817,218.09,-11.682
2,-9.817,215.84,-11.871
2,-9.817,213.59,-12.046
2,-9.817,211.34,-12.209
2,-9.817,209.09,-12.360
2,-9.817,206.85,-12.501
2,-9.817,204.60,-12.629
2,-9.817,202.35,-12.745
2,-9.817,200.10,-12.848
2,-9.817,197.85,-12.938
2,-9.817,195.60,-13.018
2,-9.817,193.36,-13.086
2,-9.817,191.11,-13.145
2,-9.817,188.86,-13.194
2,-9.817,186.61,-13.233
2,-9.817,184.36,-13.265
2,-9.817,182.11,-13.288
2,-9.817,179.87,-13.303
2,-9.817,177.62,-13.313
2,-9.817,175.37,-13.317
2,-9.817,173.12,-13.316
2,-9.817,170.87,-13.311
2,-9.817,168.62,-13.303
2,-9.817,166.38,-13.291
2,-9.817,164.13,-13.276
2,-9.817,161.88,-13.258
2,-9.817,159.63,-13.235
2,-9.817,157.38,-13.209
2,-9.817,155.13,-13.177
2,-9.817,152.89,-13.142
2,-9.817,150.64,-13.102
2,-9.817,148.39,-13.057
2,-9.817,146.14,-13.008
2,-9.817,143.89,-12.955
2,-9.817,141.64,-12.897
2,-9.817,139.40,-12.835
2,-9.817,137.15,-12.768
2,-9.817,134.90,-12.695
2,-9.817,132.65,-12.617
2,-9.817,130.40,-12.533
2,-9.817,128.15,-12.443
2,-9.817,125.91,-12.347
2,-9.817,123.66,-12.245
2,-9.817,121.41,-12.136
2,-9.817,119.16,-12.020
2,-9.817,116.91,-11.897
2,-9.817,114.66,-11.767
2,-9.817,112.42,-11.626
2,-9.817,110.17,-11.478
2,-9.817,107.92,-11.321
2,-9.817,105.67,-11.155
2,-9.817,103.42,-10.980
2,-9.817,101.17,-10.794
2,-9.817,98.93,-10.597
2,-9.817,96.68,-10.390
2,-9.817,94.43,-10.173
2,-9.817,92.18,-9.943
2,-9.817,89.93,-9.701
2,-9.817,87.68,-9.448
2,-9.817,85.44,-9.180
2,-9.817,83.19,-8.900
2,-9.817,80.94,-8.604
2,-9.817,78.69,-8.294
2,-9.817,76.44,-7.963
2,-9.817,74.19,-7.614
2,-9.817,71.95,-7.243
2,-9.817,69.70,-6.845
2,-9.817,67.45,-6.415
2,-9.817,65.20,-5.947
2,-9.817,62.95,-5.433
2,-9.817,60.70,-4.856
2,-9.817,58.46,-4.194
2,-9.817,56.21,-3.396
2,-9.817,53.96,-2.333
3,-7.363,38.22,2.281
3,-7.363,40.47,3.317
3,-7.363,42.72,4.109
3,-7.363,44.97,4.779
3,-7.363,47.21,5.372
3,-7.363,49.46,5.908
3,-7.363,51.71,6.402
3,-7.363,53.96,6.858
3,-7.363,56.21,7.286
3,-7.363,58.46,7.690
3,-7.363,60.70,8.072
3,-7.363,62.95,8.436
3,-7.363,65.20,8.783
3,-7.363,67.45,9.114
3,-7.363,69.70,9.433
3,-7.363,71.95,9.739
3,-7.363,74.19,10.035
3,-7.363,76.44,10.320
3,-7.363,78.69,10.596
3,-7.363,80.94,10.861
3,-7.363,83.19,11.118
3,-7.363,85.44,11.366
3,-7.363,87.68,11.605
3,-7.363,89.93,11.835
3,-7.363,92.18,12.056
3,-7.363,94.43,12.269
3,-7.363,96.68,12.473
3,-7.363,98.93,12.667
3,-7.363,101.17,12.853
3,-7.363,103.42,13.029
3,-7.363,105.67,13.197
3,-7.363,107.92,13.357
3,-7.363,110.17,13.509
3,-7.363,112.42,13.653
3,-7.363,114.66,13.788
3,-7.363,116.91,13.916
3,-7.363,119.16,14.035
3,-7.363,121.41,14.147
3,-7.363,123.66,14.252
3,-7.363,125.91,14.349
3,-7.363,128.15,14.440
3,-7.363,130.40,14.524
3,-7.363,132.65,14.601
3,-7.363,134.90,14.672
3,-7.363,137.15,14.737
3,-7.363,139.40,14.795
