# Moth Hull Measurements
# ---------------------
# Replace the placeholder numbers with measurements from your boat.
# All values in centimetres (cm).
#
# station_x_cm      - distance from bow tip along centreline
# half_beam_wl_cm   - half-beam at the waterline (0 at bow and stern)
# depth_cm          - depth from waterline to hull bottom (positive = below water)
# half_beam_deck_cm - half-beam at the gunwale / deck edge
# freeboard_cm      - height from waterline to deck top (positive = above water)
#
# Add or remove rows as needed — measure wherever is convenient.
# Keep rows sorted by station_x_cm (bow = 0, stern = largest value).
#
station_x_cm,half_beam_wl_cm,depth_cm,half_beam_deck_cm,freeboard_cm
0,0,0,1,24
20,4,4,8,22
40,8,8,13,20
70,12,12,16,18
100,15,14,18,17
140,17,15,20,16
170,17.2,15.5,20.3,15.5
200,17,15,20,16
240,14,13,18,17
280,9,9,14,18
310,4,5,9,20
335,0,0,2,22
