n,drag_N,status,speed_ms,p3_hb,p3_d,p3_kw,p2_hb,p2_d,p4_hb,p4_d,p3_x
1,140.3343,ok,3.601,211.69,134.67,110.17,165.65,150.12,160.0,156.74,1666.85
2,141.3963,ok,3.601,152.86,172.07,45.08,179.42,194.47,150.08,199.38,1808.74
3,133.6964,ok,3.601,195.05,120.57,42.08,157.73,145.99,154.67,197.9,1616.39
4,154.2764,ok,3.601,148.15,169.47,74.42,208.16,152.01,235.99,174.42,1725.25
5,141.6671,ok,3.601,141.19,195.38,90.7,142.4,111.44,173.09,139.28,1841.63
6,150.4678,ok,3.601,194.9,186.66,55.6,143.02,126.4,225.54,154.01,1603.97
7,146.0978,ok,3.601,191.09,122.51,115.81,149.47,145.56,242.67,178.18,1663.27
8,125.6203,ok,3.601,191.34,161.67,126.51,192.9,177.26,203.97,166.94,1982.63
9,126.8047,ok,3.601,195.76,142.02,130.0,183.5,188.69,198.87,153.12,2000.0
10,137.3806,ok,3.601,216.13,199.43,130.0,191.22,129.63,217.66,178.16,2000.0
11,136.9765,ok,3.601,183.43,196.51,130.0,201.32,157.48,200.06,197.86,2000.0
12,172.2482,ok,3.601,204.25,153.0,40.0,210.0,200.0,250.0,200.0,1988.66
13,188.1248,ok,3.601,140.0,120.0,130.0,210.0,193.47,201.23,177.2,1571.51
14,160.8261,ok,3.601,230.0,120.0,123.09,101.5,137.83,244.07,120.0,1962.85
15,132.2238,ok,3.601,230.0,120.0,130.0,188.0,174.12,250.0,120.0,2000.0
16,133.0311,ok,3.601,140.0,195.28,126.01,178.43,200.0,157.22,193.5,1980.76
17,175.2237,ok,3.601,140.12,154.07,116.51,210.0,200.0,150.0,127.06,2000.0
18,133.539,ok,3.601,182.01,200.0,130.0,188.94,192.77,189.71,181.81,2000.0
19,126.3709,ok,3.601,160.43,197.5,40.0,194.93,166.66,160.13,177.28,2000.0
20,136.5128,ok,3.601,195.6,120.0,130.0,194.34,167.93,248.47,136.14,1748.64
21,140.1126,ok,3.601,199.17,126.32,130.0,189.75,167.62,184.7,180.38,2000.0
22,152.7558,ok,3.601,181.29,120.0,130.0,188.04,187.58,152.96,193.79,2000.0
23,129.4137,ok,3.601,207.37,185.38,96.5,188.81,175.43,231.92,143.77,2000.0
24,153.5221,ok,3.601,140.0,155.62,118.97,188.02,126.89,232.26,120.0,1771.42
25,161.9961,ok,3.601,145.87,195.91,130.0,177.87,200.0,248.34,144.34,2000.0
26,143.8277,ok,3.601,158.01,180.51,130.0,186.18,200.0,224.85,194.03,1765.77
27,136.0212,ok,3.601,169.23,187.34,130.0,189.04,167.6,191.52,134.17,1689.16
28,130.7835,ok,3.601,208.36,155.85,64.72,187.29,179.29,226.1,175.81,2000.0
29,138.4866,ok,3.601,230.0,157.22,57.06,189.47,197.56,157.4,148.24,1864.12
30,142.5542,ok,3.601,222.09,149.25,40.0,195.43,173.08,186.05,120.0,1889.39
